region,salesperson,month,sales_amount,product
North,Alice,2024-01,15000,Widget
North,Alice,2024-02,18000,Widget
North,Alice,2024-03,22000,Gadget
North,Bob,2024-01,12000,Widget
North,Bob,2024-02,14000,Gadget
North,Bob,2024-03,16000,Widget
South,Charlie,2024-01,20000,Gadget
South,Charlie,2024-02,19000,Widget
South,Charlie,2024-03,25000,Gadget
South,Diana,2024-01,17000,Widget
South,Diana,2024-02,21000,Gadget
South,Diana,2024-03,23000,Widget
East,Eve,2024-01,13000,Gadget
East,Eve,2024-02,15000,Widget
East,Eve,2024-03,19000,Gadget
East,Frank,2024-01,11000,Widget
East,Frank,2024-02,13000,Widget
East,Frank,2024-03,14000,Gadget
West,Grace,2024-01,24000,Widget
West,Grace,2024-02,26000,Gadget
West,Grace,2024-03,28000,Widget
West,Henry,2024-01,16000,Gadget
West,Henry,2024-02,18000,Widget
West,Henry,2024-03,20000,Gadget
